MS46122B
!2032304/20262023
!4/29/2022.3:41:18.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
92	9.100545000	-8.250297E+000	9.100545000	-9.703430E+001	9.100545000	-1.052112E+002	9.100545000	9.305415E-002
93	9.200540000	-8.305436E+000	9.200540000	-9.410343E+001	9.200540000	-8.972313E+001	9.200540000	6.051050E-002
94	9.300535000	-8.575931E+000	9.300535000	-9.351794E+001	9.300535000	-8.816060E+001	9.300535000	3.050690E-002
95	9.400530000	-8.747362E+000	9.400530000	-9.533540E+001	9.400530000	-1.027206E+002	9.400530000	9.862220E-003
96	9.500525000	-8.810834E+000	9.500525000	-9.246780E+001	9.500525000	-9.552323E+001	9.500525000	4.565437E-003
97	9.600520000	-8.221875E+000	9.600520000	-9.364017E+001	9.600520000	-8.782368E+001	9.600520000	-9.289530E-003
98	9.700515000	-7.116056E+000	9.700515000	-1.004034E+002	9.700515000	-9.686423E+001	9.700515000	-1.202877E-002
99	9.800510000	-6.553157E+000	9.800510000	-9.498138E+001	9.800510000	-1.028355E+002	9.800510000	-4.576202E-003
100	9.900505000	-6.041801E+000	9.900505000	-9.358955E+001	9.900505000	-8.988762E+001	9.900505000	1.332405E-003
101	10.000500000	-5.686880E+000	10.000500000	-9.303802E+001	10.000500000	-1.135434E+002	10.000500000	3.910644E-003
102	10.100495000	-5.492847E+000	10.100495000	-9.654400E+001	10.100495000	-9.197124E+001	10.100495000	7.300434E-003
103	10.200490000	-5.259455E+000	10.200490000	-9.707429E+001	10.200490000	-8.938431E+001	10.200490000	2.139725E-003
104	10.300485000	-5.129026E+000	10.300485000	-8.919602E+001	10.300485000	-9.468751E+001	10.300485000	8.953005E-003
105	10.400480000	-5.206438E+000	10.400480000	-8.906599E+001	10.400480000	-1.003010E+002	10.400480000	4.950199E-003
106	10.500475000	-5.251260E+000	10.500475000	-9.217036E+001	10.500475000	-9.289674E+001	10.500475000	7.968153E-003
107	10.600470000	-5.271264E+000	10.600470000	-8.901338E+001	10.600470000	-8.764800E+001	10.600470000	3.837711E-003
108	10.700465000	-5.415020E+000	10.700465000	-8.832977E+001	10.700465000	-8.483760E+001	10.700465000	4.888143E-003
109	10.800460000	-5.580210E+000	10.800460000	-9.059528E+001	10.800460000	-9.045615E+001	10.800460000	1.298103E-002
110	10.900455000	-5.786784E+000	10.900455000	-9.213130E+001	10.900455000	-9.752453E+001	10.900455000	2.206600E-002
111	11.000450000	-6.117625E+000	11.000450000	-8.896186E+001	11.000450000	-9.101058E+001	11.000450000	2.745776E-002
112	11.100445000	-6.324419E+000	11.100445000	-9.343504E+001	11.100445000	-9.364598E+001	11.100445000	3.362377E-002
113	11.200440000	-6.614628E+000	11.200440000	-1.056814E+002	11.200440000	-1.076684E+002	11.200440000	3.723890E-002
